,Violent_DV_Crime,IRSD Score,IER Score,IEO Score,scaled_log_vdv_violence
Violent_DV_Crime,1.0,-0.5096398789667727,-0.6096028802400856,-0.10534045288451634,0.8928501597713808
IRSD Score,-0.5096398789667727,1.0,0.9216572270548666,0.7259551999542134,-0.44330416569076375
IER Score,-0.6096028802400856,0.9216572270548666,1.0,0.5155205273686103,-0.5127336531117244
IEO Score,-0.10534045288451634,0.7259551999542134,0.5155205273686103,1.0,-0.10407475471042452
scaled_log_vdv_violence,0.8928501597713808,-0.44330416569076375,-0.5127336531117244,-0.10407475471042452,1.0
