Division,Violent Crime,Property Crime,Drug Offences,DV-Related,Other Crimes,Total Crimes,IRSD Score,IRSD Decile,IRSDA Score,IRSDA Decile,IER Score,IER Decile,IEO Score,IEO Decile,Usual Resident Population,Violent_DV_Crime,log_vdv_crime,scaled_log_vdv_violence
Cleveland,440.0,2414.0694006309145,468.64353312302836,115.58359621451105,1341.198738170347,4779.495268138801,1012.672676,5.0,1003.845037,7.0,1006.541988,4.0,997.2076845,6.0,15850.0,555.5835962145111,6.321817377249866,-0.3374018627718672
Clifton,291.2751677852349,648.993288590604,163.75838926174495,53.691275167785236,707.3825503355705,1865.1006711409398,870.60132,1.0,851.6149398,1.0,906.1727021,1.0,880.5915537,1.0,1490.0,344.96644295302013,5.846341784669396,-0.8641995955120982
Cloncurry,758.4464793179665,940.9535838332807,315.75623618566465,174.61319861067255,1579.7284496368804,3769.497947584465,972.3676284,3.0,943.8131382,3.0,942.582176,2.0,903.0061251,2.0,3167.0,933.0596779286391,6.839540331186187,0.23620334972927887
Collinsville,417.78074866310163,750.6684491978609,338.2352941176471,104.94652406417113,1203.8770053475935,2815.5080213903743,901.2395198,1.0,875.3984456,1.0,922.7227741,1.0,829.3487804,1.0,1496.0,522.7272727272727,6.260971076934013,-0.4048158237662964
Cooktown,749.4537509104151,1245.4479242534594,509.10415149308085,312.09031318281137,2256.3729060451565,5072.469045884924,930.335295,2.0,916.3192176,2.0,905.5296298,1.0,942.2118076,4.0,2746.0,1061.5440640932266,6.968421372026372,0.37899562165082806
Coolangatta,741.3341549838237,4806.655368972423,637.498074256663,160.99214296718534,1965.0285010013865,8311.508242181482,1000.460387,5.0,992.0467599,6.0,942.3604694,2.0,1000.863942,7.0,6491.0,902.3262979510091,6.806083836929193,0.19913561040670058
Coolum,416.8487762237762,2168.81555944056,414.5541958041958,122.37762237762239,1349.541083916084,4472.137237762237,1029.756915,6.0,1007.679615,7.0,1018.227624,5.0,1002.112594,7.0,9152.0,539.2263986013986,6.291988308364057,-0.37045063773319625
Coomera,834.610630407911,4234.758961681088,621.6069221260816,185.01854140914708,1657.6514215080347,7533.646477132262,1001.586838,5.0,993.3258674,6.0,1017.057704,5.0,980.5232249,6.0,20225.0,1019.629171817058,6.928174551228496,0.33440461787026066
Cooroy,220.57904603207666,778.5877942095398,210.78941887106853,52.2807748385753,669.027285982087,1931.2643199333472,993.7175986,4.0,960.9346065,4.0,1002.065242,4.0,941.8931027,4.0,4801.0,272.85982087065196,5.612616372812922,-1.1231529865401124
Coorparoo,179.68232958305757,1620.3948819766158,149.23891462607546,43.348775645268034,385.5614383410545,2378.2263401720716,1077.713858,9.0,1098.946694,10.0,1016.221873,5.0,1120.48645,10.0,18132.0,223.0311052283256,5.411784904840971,-1.3456619094825886
Crestmead,1481.8678184337055,5004.319126395567,729.0359383913292,449.678102844104,2183.766604188738,9848.667590253443,861.6202216,1.0,849.9825694,1.0,933.8319093,2.0,839.6324498,1.0,12271.0,1931.5459212778094,7.566593542806836,1.041733621818776
Crows Nest,349.4575045207957,778.0289330922242,242.3146473779385,67.35985533453888,587.251356238698,2024.4122965641952,907.1048042,1.0,883.5389068,1.0,927.4164937,1.0,887.1544241,2.0,2212.0,416.81735985533453,6.035044398894337,-0.6551286970536678
Cunnamulla,1150.0405515004056,2577.4533657745337,817.5182481751825,270.88402270884023,2802.1086780210867,7618.004866180048,838.4341122,1.0,858.2831368,1.0,819.9996642,1.0,899.8217205,2.0,1233.0,1420.9245742092457,7.259766566909463,0.7017881908260759
Dalby,352.9550086220411,1220.2539583006742,628.9387051261954,97.66421069133092,1735.1465746982287,4034.95845743847,955.8738989,3.0,921.759958,2.0,966.4808485,3.0,901.5668236,2.0,12758.0,450.619219313372,6.112839389636918,-0.5689366287724696
Dayboro,273.14814814814815,744.1077441077441,125.42087542087543,50.925925925925924,376.26262626262627,1569.8653198653199,1072.616371,9.0,1049.390816,9.0,1103.079191,10.0,1021.864194,8.0,2376.0,324.0740740740741,5.784053076587789,-0.9332116556572368
Deception Bay,460.9410923210545,1931.0785265416646,574.3626424155724,143.46293363306594,1295.7645736473712,4405.609768558728,893.2058566,1.0,873.8833705,1.0,935.8453745,2.0,869.4421269,1.0,19573.0,604.4040259541205,6.405896046638385,-0.24424786476051605
Deeragun,1734.14462906623,5320.617832904283,1304.9379826819566,413.2927685466885,3032.9978937514625,11805.99110695062,934.6557667,2.0,899.2200919,2.0,955.0036511,2.0,878.5361265,1.0,4273.0,2147.4373976129186,7.672496065072558,1.1590671074731678
Dimbulah,352.8205128205128,484.1025641025641,100.51282051282051,49.23076923076923,576.4102564102565,1563.076923076923,913.8191422,2.0,905.5219053,2.0,932.6390066,2.0,915.9503043,3.0,975.0,402.05128205128204,5.999063804598592,-0.6949929840821064
Dirranbandi,290.1639344262295,1244.2622950819673,383.60655737704917,68.85245901639345,1132.7868852459014,3119.6721311475408,913.0115984,2.0,915.7569157,2.0,929.5106834,2.0,921.243486,3.0,610.0,359.016393442623,5.886149567753982,-0.8200950185335737
Drayton,1593.491450634308,7411.472697186982,1192.4986210700497,361.8312189740761,3259.7904026475458,13819.084390512962,964.0838757,3.0,922.9977342,2.0,946.9891012,2.0,911.6415343,2.0,1813.0,1955.322669608384,7.578821801002163,1.055281780321928
Dunwich,1637.7204884667572,2607.8697421981,670.2849389416554,291.72320217096336,3991.858887381275,9199.457259158751,949.7941444,2.0,924.1667129,2.0,931.8730635,2.0,935.1316758,3.0,737.0,1929.4436906377205,7.565505147000059,1.0405277461602123
Dutton Park,3945.6419868791004,27694.001874414244,4224.929709465792,697.282099343955,11090.909090909092,47652.764761012186,997.3205722,5.0,1044.752419,9.0,912.2718106,1.0,1104.694216,10.0,2134.0,4642.924086223055,8.443314996048311,2.0130871066649294
Dysart,200.47978067169294,472.9266620973269,180.26045236463332,54.14667580534613,477.72446881425634,1385.5380397532558,972.1081238,3.0,930.7250546,3.0,975.755839,3.0,862.336806,1.0,2918.0,254.62645647703906,5.543717224490522,-1.1994890081789733
Edmonton,1097.2039617845562,3867.2977473924093,466.8244368481024,335.3492856516785,1623.1045665702516,7389.779998246998,967.4658042,3.0,931.582743,3.0,979.3769331,3.0,909.7430532,2.0,11409.0,1432.5532474362346,7.267911429688489,0.7108121981829728
Eidsvold,527.8810408921934,936.8029739776952,118.95910780669145,130.1115241635688,884.7583643122676,2598.5130111524163,772.789856,1.0,789.9548002,1.0,846.9202006,1.0,833.884152,1.0,538.0,657.9925650557622,6.490712252277652,-0.15027672191403363
Emerald,307.09876543209873,628.1535158346753,363.25818572195385,95.88030059044551,1030.059044551798,2424.4498121309716,1017.376325,6.0,978.9826523,5.0,1019.564537,5.0,927.3803045,3.0,14904.0,402.97906602254426,6.001363059842734,-0.6924455505891871
Emu Park,405.08548882069266,1361.2450679526523,448.92590968873304,166.59359929855327,1046.0324419114424,3427.8825076720736,969.3855687,3.0,936.7563549,3.0,987.0592666,3.0,923.6871008,3.0,2281.0,571.679088119246,6.350325504186686,-0.3058166103018455
Esk,252.89457647775748,828.7629494210847,528.9457647775746,64.59475929311395,1380.2559414990858,3055.4539914686166,906.7092028,1.0,873.6168053,1.0,943.4900728,2.0,868.0992672,1.0,1641.0,317.48933577087143,5.763588991785637,-0.9558846038476378
Eton,420.3296703296703,1331.043956043956,304.94505494505495,126.37362637362637,1009.6153846153845,3192.3076923076924,1009.950292,5.0,945.7539344,3.0,1062.431099,8.0,865.0358879,1.0,728.0,546.7032967032967,6.305733710948659,-0.3552215764939599
Eumundi,345.0479233226837,1612.6198083067093,484.8242811501597,111.42172523961662,1392.97124600639,3946.884984025559,1048.677972,8.0,1032.999592,8.0,1080.411998,9.0,1029.125724,8.0,2504.0,456.46964856230034,6.125710540574525,-0.5546761846245588
Farleigh,394.34889434889436,2542.997542997543,486.4864864864865,149.87714987714986,1530.7125307125307,5104.422604422604,1053.890688,8.0,997.7127558,6.0,1072.7429,8.0,926.6036572,3.0,814.0,544.2260442260442,6.301200468721858,-0.3602441302576145
Ferny Grove,1330.9487310509282,6612.1614716402655,1251.575540793732,324.47623914154315,3170.669391926418,12689.831374552887,1064.25322,9.0,1053.355459,9.0,1059.830665,8.0,1047.472315,9.0,5871.0,1655.4249701924714,7.412416926535129,0.8709154070441657
Finch Hatton,491.52542372881356,1069.6798493408664,474.5762711864407,122.4105461393597,1250.4708097928437,3408.662900188324,956.5963293,3.0,910.7195309,2.0,958.0589943,2.0,887.3552418,2.0,531.0,613.9359698681733,6.421518148350785,-0.2269395362339856
Fortitude Valley,2241.1413267408325,9775.545941491555,3195.096827358879,221.05480016481252,8599.093531108365,24031.93242686444,1036.608556,7.0,1062.861914,9.0,858.0728044,1.0,1092.944182,10.0,9708.0,2462.196126905645,7.809215024225831,1.3105433111488787
Gatton,441.9819131320851,1302.1271175646414,556.3622468475353,78.20659788561966,1352.3118074130684,3730.98968284295,880.6714178,1.0,879.6297974,1.0,918.7199027,1.0,879.4802272,1.0,7851.0,520.1885110177047,6.256111801680228,-0.410199602085099
Gayndah,299.12775782452536,873.2683427398666,435.09492047203696,90.30271934325295,1008.7224217547459,2706.5161621344278,870.3649088,1.0,856.0770662,1.0,913.1292632,1.0,857.8719273,1.0,1949.0,389.4304771677783,5.967249918007731,-0.7302408150691069
Gin Gin,942.9323968393327,3263.388937664618,1057.0676031606672,247.585601404741,3139.5961369622473,8650.570676031606,833.2232473,1.0,825.1059738,1.0,887.4739429,1.0,834.2701678,1.0,1139.0,1190.5179982440736,7.0829834019589715,0.5059233095665819
Gladstone,1378.5634004291408,4221.1096352304085,1323.7968734034944,574.9463574128947,4209.359354245427,11707.775620721366,942.3000931,3.0,942.4881828,4.0,904.4544519,4.0,925.8935058,4.0,9787.0,1953.5097578420355,7.577894677720949,1.0542545847095026
Goodna,1951.78519872967,6649.889327302473,1319.2185545183333,435.6654797420845,4326.725050524493,14683.283610817054,845.6963663,1.0,854.0414996,1.0,900.1619585,1.0,865.397629,1.0,10391.0,2387.450678471754,7.778400183034125,1.2764023610604815
Goombungee,819.8874296435272,2061.9136960600376,497.18574108818007,172.6078799249531,1247.65478424015,4799.249530956848,943.8745954,2.0,898.9794088,2.0,969.2761223,3.0,877.2902014,1.0,1066.0,992.4953095684803,6.901229340861935,0.30455098089958776
Goomeri,404.7267355982275,1336.7799113737076,265.87887740029544,84.19497784342688,1094.5347119645494,3186.1152141802067,849.3237729,1.0,840.025894,1.0,882.7488986,1.0,907.0962845,2.0,677.0,488.9217134416544,6.194245609853908,-0.4787435401882132
Goondiwindi,368.86035313001605,1482.1829855537721,418.6195826645265,74.15730337078652,1455.0561797752807,3798.876404494382,989.1264691,4.0,952.9523506,4.0,987.9168445,3.0,926.7316489,3.0,6230.0,443.01765650080256,6.095864328535242,-0.5877439531462785
Gordonvale,448.0126728110599,1433.7557603686637,175.40322580645162,106.5668202764977,762.0967741935484,2925.835253456221,986.3215741,4.0,948.6159927,3.0,1004.1164,4.0,921.2126284,3.0,6944.0,554.5794930875576,6.3200117007093795,-0.33940244139763476
Gracemere,400.56558263328617,1075.2723945770606,210.43000914913083,128.4205273226316,640.7718539466023,2455.4603676287115,951.3094048,2.0,914.1325732,2.0,986.8700146,3.0,879.2233834,1.0,12023.0,528.9861099559178,6.272850798572398,-0.3916538223463662
Gympie,716.8648172611186,2839.3659180977543,834.3461030383091,220.43152796125054,2256.8912373403787,6867.899603698811,876.525441,1.0,855.9802112,1.0,906.0491668,1.0,869.2383955,1.0,11355.0,937.2963452223692,6.8440658321827685,0.24121732668564425
Harrisville,623.688155922039,2064.4677661169417,1187.406296851574,134.93253373313343,2764.617691154423,6775.112443778111,994.037596,4.0,946.1854786,3.0,1024.803659,5.0,909.5036143,2.0,667.0,758.6206896551723,6.632819216133246,0.007169059812512054
Helidon,1021.2389380530973,3391.1504424778764,3286.725663716814,176.99115044247787,4676.991150442478,12553.097345132743,929.9462729,2.0,893.3391936,2.0,959.5565331,2.0,867.816717,1.0,1130.0,1198.2300884955753,7.089435036946922,0.5130713246006967
Hendra,2610.5006105006105,23739.72323972324,3612.128612128612,666.8701668701668,7928.3679283679285,38557.590557590556,1104.983298,10.0,1142.701375,10.0,1109.376117,10.0,1126.899302,10.0,4914.0,3277.3707773707774,8.095101863758591,1.6272883580792106
Herberton,592.1787709497207,1086.0335195530727,820.1117318435754,139.66480446927375,1941.8994413407822,4579.888268156425,907.4135501,1.0,879.3443665,1.0,905.4715699,1.0,881.6288229,1.0,895.0,731.8435754189945,6.596932275864636,-0.03259146431005559
Highfields,143.0905695611578,605.3921568627451,119.9813258636788,25.443510737628383,269.140989729225,1163.0485527544351,1080.463553,9.0,1047.081586,9.0,1087.674393,9.0,1015.846505,7.0,8568.0,168.53408029878617,5.133053970319559,-1.6544786534789586
Holland Park,569.599815476877,4350.709260754238,443.5474570407104,182.56256487141044,1209.664398569946,6756.083496713182,1046.474662,7.0,1070.377557,9.0,1019.543826,5.0,1093.094843,10.0,8671.0,752.1623803482875,6.624280849104788,-0.002290926067066765
Home Hill,335.1877607788595,877.260083449235,253.12934631432543,143.60222531293462,859.8748261474269,2469.054242002782,943.3929181,2.0,898.6754748,2.0,953.6396605,2.0,867.6408702,1.0,2876.0,478.78998609179416,6.173348479182778,-0.5018962765854338
Hope Vale,1892.4302788844623,1457.171314741036,294.8207171314741,759.9601593625498,3531.8725099601593,7936.254980079681,637.7226755,1.0,726.0692715,1.0,641.2548559,1.0,817.1812613,1.0,1004.0,2652.390438247012,7.8835935118911165,1.392950104006681
Howard,859.3974175035868,2809.899569583931,641.3199426111909,225.25107604017217,3017.2166427546626,7553.084648493544,838.5473435,1.0,818.8739024,1.0,903.5564255,1.0,816.9727961,1.0,1394.0,1084.6484935437588,6.989932777331172,0.4028289365874035
Hughenden,554.3575920934411,1042.2282120395328,386.3432165318958,141.06019766397122,1283.917340521114,3407.9065588499548,942.9530094,2.0,914.7569405,2.0,915.2368539,1.0,901.1561832,2.0,1113.0,695.4177897574123,6.545949752882825,-0.08907696626912698
Imbil,690.0093370681606,1649.859943977591,646.1251167133521,203.54808590102706,1985.9943977591038,5175.536881419234,920.9082148,2.0,889.7515245,2.0,965.6089884,3.0,890.3641433,2.0,1071.0,893.5574229691877,6.7963290964939,0.18832795755349563
Inala,885.0258626334053,5045.177764682774,744.9747921168074,201.85949060433444,1929.2869770182674,8806.324887055589,697.3341255,1.0,770.7803713,1.0,800.8897462,1.0,846.2603892,1.0,15273.0,1086.8853532377398,6.991991048001301,0.4051093739837901
Indooroopilly,569.0794303332843,4632.873293202173,510.6445455880194,82.95404492732345,1276.24431067391,7071.79562472471,1063.395683,9.0,1097.038615,10.0,985.6193209,3.0,1146.067311,10.0,13622.0,652.0334752606078,6.481628391761275,-0.16034108105092532
Ingham,898.5409652076319,1481.705948372615,561.1672278338945,255.8922558922559,1974.1863075196409,5171.492704826038,911.7934042,2.0,878.892568,1.0,902.5644247,1.0,858.1724489,1.0,4455.0,1154.4332210998878,7.05223063583314,0.4718511348358948
Inglewood,518.1623931623932,1121.7948717948718,525.6410256410256,87.6068376068376,1594.0170940170942,3847.222222222222,849.8962328,1.0,832.8273698,1.0,903.9684138,1.0,820.3484229,1.0,936.0,605.7692307692308,6.408148538820934,-0.24175224186567473
Jandowae,412.35059760956176,776.8924302788845,155.3784860557769,88.64541832669323,694.2231075697212,2127.490039840637,861.5811514,1.0,851.0080239,1.0,918.6323434,1.0,853.2109384,1.0,1004.0,500.996015936255,6.218592183278274,-0.4517690332312056
