Localities,IRSD Score,IRSD Decile,IRSDA Score,IRSDA Decile,IER Score,IER Decile,IEO Score,IEO Decile,Usual Resident Population
Crows Nest,907.1048042,1,883.5389068,1,927.4164937,1,887.1544241,2,2212
Croydon,875.522324,1,889.6738893,2,838.6129349,1,867.4994369,1,215
Cunnamulla,838.4341122,1,858.2831368,1,819.9996642,1,899.8217205,2,1233
Dajarra,851.7662967,1,859.1809131,1,825.7617558,1,891.5112079,2,186
Dalby,955.8738989,3,921.759958,2,966.4808485,3,901.5668236,2,12758
Dayboro,1072.616371,9,1049.390816,9,1103.079191,10,1021.864194,8,2376
Deception Bay,893.2058566,1,873.8833705,1,935.8453745,2,869.4421269,1,19573
Deeragun,934.6557667,2,899.2200919,2,955.0036511,2,878.5361265,1,4273
Dimbulah,913.8191422,2,905.5219053,2,932.6390066,2,915.9503043,3,975
Dirranbandi,913.0115984,2,915.7569157,2,929.5106834,2,921.243486,3,610
Doomadgee,533.7902164,1,695.8709289,1,579.7176982,1,846.0393087,1,1387
Drayton,964.0838757,3,922.9977342,2,946.9891012,2,911.6415343,2,1813
Duaringa,865.6893715,1,858.9953574,1,921.8599597,1,831.8200411,1,262
Dulacca,998.8454618,5,1010.966721,7,1054.642123,7,1053.911028,9,131
Dunwich,949.7941444,2,924.1667129,2,931.8730635,2,935.1316758,3,737
Dutton Park,997.3205722,5,1044.752419,9,912.2718106,1,1104.694216,10,2134
Dysart,972.1081238,3,930.7250546,3,975.755839,3,862.336806,1,2918
Edmonton,967.4658042,3,931.582743,3,979.3769331,3,909.7430532,2,11409
Eidsvold,772.789856,1,789.9548002,1,846.9202006,1,833.884152,1,538
Emerald,1017.376325,6,978.9826523,5,1019.564537,5,927.3803045,3,14904
Emu Park,969.3855687,3,936.7563549,3,987.0592666,3,923.6871008,3,2281
Eromanga,1064.484371,9,1051.599709,9,1085.093868,9,1068.319439,9,98
Esk,906.7092028,1,873.6168053,1,943.4900728,2,868.0992672,1,1641
Eton,1009.950292,5,945.7539344,3,1062.431099,8,865.0358879,1,728
Eulo,865.1345318,1,889.0662009,1,895.5923377,1,912.4099028,2,94
